assessment_id,name,url,remote_testing,adaptive_irt,test_type_codes,description,duration_minutes,job_levels,languages,skills,category
asp-net-4-5,ASP.NET 4.5,https://www.shl.com/products/product-catalog/view/asp-net-4-5/,yes,yes,K,If you choose to continue with your current browser we cannot guarantee your experience.,30.0,"Mid-Professional, Professional Individual Contributor,","English (USA),",,
assessment-and-development-center-exercises,Assessment and Development Center Exercises,https://www.shl.com/products/product-catalog/view/assessment-and-development-center-exercises/,yes,no,E,If you choose to continue with your current browser we cannot guarantee your experience.,,"Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","English International, English (USA),",,
automata-fix-new,Automata - Fix (New),https://www.shl.com/products/product-catalog/view/automata-fix-new/,yes,no,S,If you choose to continue with your current browser we cannot guarantee your experience.,,"Mid-Professional,","English (USA),",,
automata-sql-new,Automata - SQL (New),https://www.shl.com/products/product-catalog/view/automata-sql-new/,yes,no,S,If you choose to continue with your current browser we cannot guarantee your experience.,,"Mid-Professional, Professional Individual Contributor,","English (USA),",,
automata-new,Automata (New),https://www.shl.com/products/product-catalog/view/automata-new/,yes,no,S,If you choose to continue with your current browser we cannot guarantee your experience.,,"Mid-Professional, Professional Individual Contributor,","English (USA),",,
automata-data-science-new,Automata Data Science (New),https://www.shl.com/products/product-catalog/view/automata-data-science-new/,yes,no,S,If you choose to continue with your current browser we cannot guarantee your experience.,,"Mid-Professional, Professional Individual Contributor,","English (USA),",,
automata-data-science-pro-new,Automata Data Science Pro (New),https://www.shl.com/products/product-catalog/view/automata-data-science-pro-new/,yes,no,S,If you choose to continue with your current browser we cannot guarantee your experience.,,"Professional Individual Contributor, Mid-Professional,","English (USA),",,
automata-front-end,Automata Front End,https://www.shl.com/products/product-catalog/view/automata-front-end/,yes,no,S,If you choose to continue with your current browser we cannot guarantee your experience.,30.0,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor, Manager,","English (USA),",,
automata-pro-new,Automata Pro (New),https://www.shl.com/products/product-catalog/view/automata-pro-new/,yes,no,S,If you choose to continue with your current browser we cannot guarantee your experience.,,"Mid-Professional, Professional Individual Contributor,","English (USA),",,
automata-selenium,Automata Selenium,https://www.shl.com/products/product-catalog/view/automata-selenium/,yes,no,S,If you choose to continue with your current browser we cannot guarantee your experience.,60.0,"Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor,","English (USA),",,
automation-anywhere-rpa-development-new,Automation Anywhere RPA Development (New),https://www.shl.com/products/product-catalog/view/automation-anywhere-rpa-development-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,8.0,"Mid-Professional, Professional Individual Contributor,","English (USA),",,
automotive-engineering-new,Automotive Engineering (New),https://www.shl.com/products/product-catalog/view/automotive-engineering-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,13.0,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",,
basic-biology-new,Basic Biology (New),https://www.shl.com/products/product-catalog/view/basic-biology-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,6.0,"Professional Individual Contributor, Graduate, Mid-Professional,","English (USA),",,
basic-computer-literacy-windows-10-new,Basic Computer Literacy (Windows 10) (New),https://www.shl.com/products/product-catalog/view/basic-computer-literacy-windows-10-new/,yes,no,S K,If you choose to continue with your current browser we cannot guarantee your experience.,30.0,"Entry-Level,","English (USA),",,
basic-statistics-new,Basic Statistics (New),https://www.shl.com/products/product-catalog/view/basic-statistics-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,10.0,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",,
biochemistry-new,Biochemistry (New),https://www.shl.com/products/product-catalog/view/biochemistry-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,8.0,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",,
biotech-lab-techniques-new,Biotech Lab Techniques (New),https://www.shl.com/products/product-catalog/view/biotech-lab-techniques-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,5.0,"Graduate, Professional Individual Contributor, Mid-Professional,","English (USA),",,
biztalk-new,BizTalk (New),https://www.shl.com/products/product-catalog/view/biztalk-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,16.0,"Mid-Professional, Professional Individual Contributor,","English (USA),",,
business-communication-adaptive,Business Communication (adaptive),https://www.shl.com/products/product-catalog/view/business-communication-adaptive/,yes,yes,K,If you choose to continue with your current browser we cannot guarantee your experience.,24.0,"Entry-Level, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor,","English (USA),",,
business-communications,Business Communications,https://www.shl.com/products/product-catalog/view/business-communications/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,35.0,,"English (USA),",,
c-programming-new,C Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,10.0,"Mid-Professional, Professional Individual Contributor,","English (USA),",,
c-programming-new-4039,C# Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new-4039/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,9.0,"Mid-Professional, Professional Individual Contributor,","English (USA),",,
c-programming-new-4122,C++ Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new-4122/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,10.0,"Mid-Professional, Professional Individual Contributor,","English (USA),",,
cardiology-and-diabetes-management-new,Cardiology and Diabetes Management (New),https://www.shl.com/products/product-catalog/view/cardiology-and-diabetes-management-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,4.0,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",,
ceramic-engineering-new,Ceramic Engineering (New),https://www.shl.com/products/product-catalog/view/ceramic-engineering-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,12.0,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",,
chemical-engineering-new,Chemical Engineering (New),https://www.shl.com/products/product-catalog/view/chemical-engineering-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,13.0,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",,
cisco-appdynamics-new,Cisco AppDynamics (New),https://www.shl.com/products/product-catalog/view/cisco-appdynamics-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,9.0,"Mid-Professional, Professional Individual Contributor,","English (USA),",,
civil-engineering-new,Civil Engineering (New),https://www.shl.com/products/product-catalog/view/civil-engineering-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,10.0,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","English (USA),",,
cloud-computing-new,Cloud Computing (New),https://www.shl.com/products/product-catalog/view/cloud-computing-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,8.0,"Mid-Professional, Professional Individual Contributor,","English (USA),",,
cobol-programming-new,COBOL Programming (New),https://www.shl.com/products/product-catalog/view/cobol-programming-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,10.0,"Mid-Professional, Professional Individual Contributor,","English (USA),",,
computer-science-new,Computer Science (New),https://www.shl.com/products/product-catalog/view/computer-science-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,12.0,"Mid-Professional, Professional Individual Contributor,","English (USA),",,
contact-center-call-simulation-new,Contact Center Call Simulation (New),https://www.shl.com/products/product-catalog/view/contact-center-call-simulation-new/,yes,no,S,If you choose to continue with your current browser we cannot guarantee your experience.,15.0,"Entry-Level,","English (USA),",,
conversational-multichat-simulation,Conversational Multichat Simulation,https://www.shl.com/products/product-catalog/view/conversational-multichat-simulation/,yes,no,S,If you choose to continue with your current browser we cannot guarantee your experience.,11.0,,"English (USA),",,
core-java-advanced-level-new,Core Java (Advanced Level) (New),https://www.shl.com/products/product-catalog/view/core-java-advanced-level-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,13.0,"Mid-Professional, Professional Individual Contributor,","English (USA),",,
core-java-entry-level-new,Core Java (Entry Level) (New),https://www.shl.com/products/product-catalog/view/core-java-entry-level-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,13.0,"Mid-Professional, Professional Individual Contributor,","English (USA),",,
count-out-the-money,Count Out The Money,https://www.shl.com/products/product-catalog/view/count-out-the-money/,yes,yes,K S,If you choose to continue with your current browser we cannot guarantee your experience.,5.0,"Entry-Level,","English (USA), English (Australia), English (Canada), English International, English (South Africa),",,
css3-new,CSS3 (New),https://www.shl.com/products/product-catalog/view/css3-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,8.0,"Mid-Professional, Professional Individual Contributor,","English (USA),",,
culinary-skills-new,Culinary Skills (New),https://www.shl.com/products/product-catalog/view/culinary-skills-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,7.0,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","English (USA),",,
customer-service-phone-simulation,Customer Service Phone Simulation,https://www.shl.com/products/product-catalog/view/customer-service-phone-simulation/,yes,no,B S,If you choose to continue with your current browser we cannot guarantee your experience.,20.0,"Entry-Level,","French (Canada), Portuguese (Brazil), Dutch, Italian, Spanish, French, Latin American Spanish, Chinese Simplified, English (Australia), English International, English (USA),",,
customer-service-phone-solution,Customer Service Phone Solution,https://www.shl.com/products/product-catalog/view/customer-service-phone-solution/,yes,no,B P S,If you choose to continue with your current browser we cannot guarantee your experience.,30.0,"Entry-Level,","French (Canada), Italian, French, Dutch, Spanish, Portuguese (Brazil), Chinese Simplified, English (Australia), Latin American Spanish, English (USA), English International,",,
cyber-risk-new,Cyber Risk (New),https://www.shl.com/products/product-catalog/view/cyber-risk-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,9.0,"Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","English (USA),",,
data-entry-new,Data Entry (New),https://www.shl.com/products/product-catalog/view/data-entry-new/,yes,no,S,If you choose to continue with your current browser we cannot guarantee your experience.,4.0,"Entry-Level,","English (USA),",,
data-entry-alphanumeric-split-screen-us,Data Entry Alphanumeric Split Screen - US,https://www.shl.com/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,5.0,"Professional Individual Contributor, Mid-Professional, Front Line Manager, Entry-Level,","English (USA),",,
data-entry-numeric-split-screen-us,Data Entry Numeric Split Screen - US,https://www.shl.com/products/product-catalog/view/data-entry-numeric-split-screen-us/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,5.0,"Mid-Professional, Professional Individual Contributor, Entry-Level, Front Line Manager,","English (USA),",,
data-entry-ten-key-split-screen,Data Entry Ten Key Split Screen,https://www.shl.com/products/product-catalog/view/data-entry-ten-key-split-screen/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,3.0,"Entry-Level, Front Line Manager, Mid-Professional, Professional Individual Contributor,","English (USA),",,
data-science-new,Data Science (New),https://www.shl.com/products/product-catalog/view/data-science-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,14.0,"Mid-Professional, Professional Individual Contributor,","English (USA),",,
data-warehousing-concepts,Data Warehousing Concepts,https://www.shl.com/products/product-catalog/view/data-warehousing-concepts/,yes,yes,K,If you choose to continue with your current browser we cannot guarantee your experience.,25.0,"Mid-Professional, Professional Individual Contributor,","English (USA),",,
dependability-and-safety-instrument-dsi,Dependability and Safety Instrument (DSI),https://www.shl.com/products/product-catalog/view/dependability-and-safety-instrument-dsi/,yes,no,P,If you choose to continue with your current browser we cannot guarantee your experience.,10.0,"Entry-Level,","Portuguese (Brazil), Chinese Traditional, Danish, Dutch, Finnish, French, German, Icelandic, Chinese Simplified, English International, Italian, Latin American Spanish, Polish, Swedish, English (USA), Norwegian, Russian,",,
dermatology-new,Dermatology (New),https://www.shl.com/products/product-catalog/view/dermatology-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,3.0,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",,
desktop-support-new,Desktop Support (New),https://www.shl.com/products/product-catalog/view/desktop-support-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,8.0,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",,
digital-advertising-new,Digital Advertising (New),https://www.shl.com/products/product-catalog/view/digital-advertising-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,7.0,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","English (USA),",,
digital-readiness-development-report,Digital Readiness Development Report - IC,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report/,yes,no,P,If you choose to continue with your current browser we cannot guarantee your experience.,,"Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,",,,
digital-readiness-development-report-manager,Digital Readiness Development Report - Manager,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report-manager/,yes,no,P,If you choose to continue with your current browser we cannot guarantee your experience.,,"Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Supervisor, Director,",,,
docker-new,Docker (New),https://www.shl.com/products/product-catalog/view/docker-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,10.0,"Mid-Professional, Professional Individual Contributor,","English (USA),",,
dojo-new,Dojo (New),https://www.shl.com/products/product-catalog/view/dojo-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,11.0,"Mid-Professional, Professional Individual Contributor,","English (USA),",,
drupal-new,Drupal (New),https://www.shl.com/products/product-catalog/view/drupal-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,17.0,"Mid-Professional, Professional Individual Contributor,","English (USA),",,
dsi-v1-1-interpretation-report,DSI v1.1 Interpretation Report,https://www.shl.com/products/product-catalog/view/dsi-v1-1-interpretation-report/,yes,no,P,If you choose to continue with your current browser we cannot guarantee your experience.,,,"Portuguese (Brazil), Dutch, Finnish, French, Latin American Spanish, Norwegian, Swedish, English (USA), English International, Chinese Simplified, Chinese Traditional, Danish, German, Icelandic, Italian, Russian,",,
econometrics-new,Econometrics (New),https://www.shl.com/products/product-catalog/view/econometrics-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,11.0,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",,
economics-new,Economics (New),https://www.shl.com/products/product-catalog/view/economics-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,13.0,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",,
electrical-and-electronics-engineering-new,Electrical and Electronics Engineering (New),https://www.shl.com/products/product-catalog/view/electrical-and-electronics-engineering-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,14.0,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",,
electrical-engineering-new,Electrical Engineering (New),https://www.shl.com/products/product-catalog/view/electrical-engineering-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,8.0,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",,
electronics-and-telecommunications-engineering-new,Electronics & Telecommunications Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-telecommunications-engineering-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,15.0,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",,
electronics-and-embedded-systems-engineering-new,Electronics and Embedded Systems Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-embedded-systems-engineering-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,18.0,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",,
electronics-and-semiconductor-engineering-new,Electronics and Semiconductor Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-semiconductor-engineering-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,7.0,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",,
english-comprehension-new,English Comprehension (New),https://www.shl.com/products/product-catalog/view/english-comprehension-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,0.0,"Entry-Level,","English (USA),",,
enterprise-java-beans-new,Enterprise Java Beans (New),https://www.shl.com/products/product-catalog/view/enterprise-java-beans-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,4.0,"Mid-Professional, Professional Individual Contributor,","English (USA),",,
enterprise-leadership-report,Enterprise Leadership Report 1.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report/,yes,no,P,If you choose to continue with your current browser we cannot guarantee your experience.,,"Director, Executive, Manager, Mid-Professional,",,,
enterprise-leadership-report-2-0,Enterprise Leadership Report 2.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report-2-0/,yes,no,P,If you choose to continue with your current browser we cannot guarantee your experience.,,"Director, Executive, Manager, Mid-Professional,",,,
entry-level-cashier-solution,Entry Level Cashier Solution,https://www.shl.com/products/product-catalog/view/entry-level-cashier-solution/,yes,no,C P,If you choose to continue with your current browser we cannot guarantee your experience.,19.0,"Entry-Level,","English (USA), English International, French (Canada), German, Italian, French, Dutch, Norwegian, Finnish, Swedish, Danish, Arabic, Chinese Simplified, Latin American Spanish,",,
entry-level-customer-serv-retail-and-contact-center,Entry Level Customer Serv-Retail & Contact Center,https://www.shl.com/products/product-catalog/view/entry-level-customer-serv-retail-and-contact-center/,yes,no,P C,If you choose to continue with your current browser we cannot guarantee your experience.,19.0,"Entry-Level,","Latin American Spanish, German, French, Chinese Simplified, Swedish, Arabic, English International, English (USA), French (Canada), Italian, Dutch, Norwegian, Finnish, Danish,",,
entry-level-customer-service-general-solution,Entry Level Customer Service (General) Solution,https://www.shl.com/products/product-catalog/view/entry-level-customer-service-general-solution/,yes,no,C P,If you choose to continue with your current browser we cannot guarantee your experience.,14.0,"Entry-Level,","English (USA), English International, French (Canada), Italian, Dutch, Norwegian, Finnish, Danish, Latin American Spanish, German, French, Chinese Simplified, Swedish, Arabic,",,
entry-level-hotel-front-desk-solution,Entry Level Hotel Front Desk Solution,https://www.shl.com/products/product-catalog/view/entry-level-hotel-front-desk-solution/,yes,no,C P,If you choose to continue with your current browser we cannot guarantee your experience.,20.0,"Entry-Level,","French (Canada), Italian, French, Chinese Simplified, Swedish, Arabic, English (USA), English International, Latin American Spanish, German, Dutch, Norwegian, Finnish, Danish,",,
entry-level-sales-solution,Entry Level Sales Solution,https://www.shl.com/products/product-catalog/view/entry-level-sales-solution/,yes,no,C P,If you choose to continue with your current browser we cannot guarantee your experience.,20.0,"Entry-Level,","German, Italian, Chinese Simplified, Finnish, Danish, English (USA), English International, Latin American Spanish, French (Canada), French, Dutch, Norwegian, Swedish, Arabic,",,
entry-level-technical-support-solution,Entry Level Technical Support Solution,https://www.shl.com/products/product-catalog/view/entry-level-technical-support-solution/,yes,no,P C,If you choose to continue with your current browser we cannot guarantee your experience.,18.0,"Entry-Level,","Latin American Spanish, German, Chinese Simplified, Finnish, Danish, English (USA), English International, French (Canada), Italian, French, Dutch, Norwegian, Swedish, Arabic,",,
etl-testing-new,ETL Testing (New),https://www.shl.com/products/product-catalog/view/etl-testing-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,9.0,"Mid-Professional, Professional Individual Contributor,","English (USA),",,
executive-scenarios,Executive Scenarios,https://www.shl.com/products/product-catalog/view/executive-scenarios/,yes,no,B,If you choose to continue with your current browser we cannot guarantee your experience.,,"Director, Executive, Manager,","Italian, English (USA), English International, Korean,",,
executive-scenarios-narrative-report,Executive Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/executive-scenarios-narrative-report/,yes,no,B,If you choose to continue with your current browser we cannot guarantee your experience.,,"Director, Executive, Manager,",,,
executive-scenarios-profile-report,Executive Scenarios Profile Report,https://www.shl.com/products/product-catalog/view/executive-scenarios-profile-report/,yes,no,B,If you choose to continue with your current browser we cannot guarantee your experience.,,"Director, Executive, Manager,",,,
expressjs-new,ExpressJS (New),https://www.shl.com/products/product-catalog/view/expressjs-new/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,7.0,"Mid-Professional, Professional Individual Contributor,","English (USA),",,
filing-names-r1,Filing - Names (R1),https://www.shl.com/products/product-catalog/view/filing-names-r1/,yes,no,K,If you choose to continue with your current browser we cannot guarantee your experience.,3.0,"Entry-Level,","English (USA),",,
